Parish,Facility,Street,City,Address,Website,Phone
Caddo,Brookshires Pharmacy #78,510 Kings Hwy,Shreveport,"510 Kings Hwy, Shreveport, LA",https://www.brookshires.com/stores/shreveport-78/6405,(318) 424-0853
Calcasieu,Brookshire Brothers Pharmacy #31,300 West Fourth Street,DeQuincy,"300 West Fourth Street, DeQuincy, LA",https://www.brookshirebrothers.com/store-location/store-31,(337) 786-5863
Calcasieu,Albertsons/Savon #2798,2750 Country Club Road,Lake Charles,"2750 Country Club Road, Lake Charles, LA",https://www.mhealthsystem.com/Albertsons2798,
Calcasieu,Albertsons/Savon #717,4060 Ryan Street South,Lake Charles,"4060 Ryan Street South, Lake Charles, LA",https://www.mhealthsystem.com/Albertsons0717,
Calcasieu,Boudreaux's New Drug Store,404 E Prien Lake Road,Lake Charles,"404 E Prien Lake Road, Lake Charles, LA",https://covidlakecharles.com,(337) 436-7216
Calcasieu,Genoa Healthcare Pharmacy #10938,4105 Kirkman Street,Lake Charles,"4105 Kirkman Street, Lake Charles, LA",https://www.genoahealthcare.com/locations/louisiana/,(337) 426-0906
Calcasieu,Hobgood Pharmacy,2640 Country Club Road,Lake Charles,"2640 Country Club Road, Lake Charles, LA",https://www.hobgoodrx.net/,(337) 602-6027
Calcasieu,Kroger Pharmacy #394,2010 Country Club Road,Lake Charles,"2010 Country Club Road, Lake Charles, LA",https://www.kroger.com/rx/guest/get-vaccinated,(337) 990-4902
Calcasieu,Pettit's Family Pharmacy,114 Gloria Drive,Lake Charles,"114 Gloria Drive, Lake Charles, LA",https://www.pettitspharmacy.com/,(337) 405-7880
Calcasieu,Walgreens #3373,2000 Gertsner Memorial Drive,Lake Charles,"2000 Gertsner Memorial Drive, Lake Charles, LA",https://www.walgreens.com/covid19vac,
Calcasieu,Walgreens #6219,2636 Ryan Street,Lake Charles,"2636 Ryan Street, Lake Charles, LA",https://www.walgreens.com/covid19vac,
Calcasieu,Walgreens #7197,120 N Highway 171,Moss Bluff,"120 N Highway 171, Moss Bluff, LA",https://www.walgreens.com/covid19vac,
Calcasieu,Brookshire Brothers Pharmacy #47,1612 Ruth Street,Sulphur,"1612 Ruth Street, Sulphur, LA",https://www.brookshirebrothers.com/store-location/store-47,(337) 527-0033
Calcasieu,Walgreens #2920,1021 Beglis Parkway,Sulphur,"1021 Beglis Parkway, Sulphur, LA",https://www.walgreens.com/covid19vac,
Caldwell,Caldwell Drug,8141 Highway 165,Columbia,"8141 Highway 165, Columbia, LA",https://www.facebook.com/Caldwell-Drug-108338354288122/,(318) 502-4032
Caldwell,J & K Drugs,7190 Highway 165,Columbia,"7190 Highway 165, Columbia, LA",,(318) 649-0825
Cameron,South Cameron Hospital,5360 W Creole Highway,Cameron,"5360 W Creole Highway, Cameron, LA",,(337) 605-0531
Catahoula,Catahoula Parish Health Unit (@ Jonesville Armory),610 Dorothy Drive,Jonesville,"610 Dorothy Drive, Jonesville, LA",https://laredcap.oph.dhh.la.gov/surveys/?s=NL487F89T9,(318) 339-8352
Claiborne,"Ted's Pharmacy, LLC",1866 Main Street,Haynesville,"1866 Main Street, Haynesville, LA",http://www.tedsrx.com/,(318) 624-1053
Claiborne,Brookshires Pharmacy #066,817 W Main Street,Homer,"817 W Main Street, Homer, LA",https://www.brookshires.com/stores/homer-66/6393,(318) 927-9651
Claiborne,Claiborne Pharmacy,833 W Main Street,Homer,"833 W Main Street, Homer, LA",https://www.claibornepharmacy.com/,(318) 927-3523
Concordia,Scott's Pharmacy Ferriday,114 Serio Boulevard,Ferriday,"114 Serio Boulevard, Ferriday, LA",https://www.scottspharmacy.org/#tab6,(318) 757-3035
Concordia,"Book's Pharmacy, LTD",1158 Logan Sewell Drive,Vidalia,"1158 Logan Sewell Drive, Vidalia, LA",https://www.bookspharmacy.com/contact,(318) 414-2616
Concordia,Reeves Drug Store,307 Carter Street,Vidalia,"307 Carter Street, Vidalia, LA",https://reevesdrugs.com/locations,(318) 336-5112
DeSoto,Brookshires Pharmacy #091,1117 Polk Street,Mansfield,"1117 Polk Street, Mansfield, LA",https://www.brookshires.com/stores/mansfield-91/6418,(318) 871-2976
East Baton Rouge,Walgreens Pharmacy #13875,6485 Groom Road,Baker,"6485 Groom Road, Baker, LA",https://www.walgreens.com/covid19vac,
East Baton Rouge,Albertsons/Savon #3713,15232 George O'Neal Road,Baton Rouge,"15232 George O'Neal Road, Baton Rouge, LA",https://www.mhealthsystem.com/Albertsons3713,
East Baton Rouge,Albertsons/Savon #3747,15128 Airline Highway,Baton Rouge,"15128 Airline Highway, Baton Rouge, LA",https://www.mhealthsystem.com/Albertsons3747,
East Baton Rouge,Albertsons/Savon #3750,4857 Government Street,Baton Rouge,"4857 Government Street, Baton Rouge, LA",https://www.mhealthsystem.com/Albertsons3750,
East Baton Rouge,Albertsons/Savon #709,2950 College Drive,Baton Rouge,"2950 College Drive, Baton Rouge, LA",https://www.mhealthsystem.com/Albertsons0709,
East Baton Rouge,"Bocage Pharmacy Centre, Inc.",7150 Jefferson Highway,Baton Rouge,"7150 Jefferson Highway, Baton Rouge, LA",https://www.bocagepharmacycentre.com/,(225) 364-2847
East Baton Rouge,"CareSouth, Capitol City Family Health Baton Rouge #2",3140 Florida Street,Baton Rouge,"3140 Florida Street, Baton Rouge, LA",https://www.caresouth.org/locations/baton-rouge/,(225) 650-2000
East Baton Rouge,Genoa Healthcare Pharmacy #10620,2751 Wooddale Boulevard,Baton Rouge,"2751 Wooddale Boulevard, Baton Rouge, LA",https://www.genoahealthcare.com/locations/louisiana/,(225) 362-5342
East Baton Rouge,Lagniappe Pharmacy #3,3490 Drusilla Lane,Baton Rouge,"3490 Drusilla Lane, Baton Rouge, LA",https://www.lagniapperx.com/locations,(225) 367-6488
East Baton Rouge,RKM Primary Care - Livingston,455 East Airport Ave.,Baton Rouge,"455 East Airport Ave., Baton Rouge, LA",https://rkmcare.org/,
East Baton Rouge,The Baton Rouge Clinic,7373 Perkins Road,Baton Rouge,"7373 Perkins Road, Baton Rouge, LA",https://batonrougeclinic.com/hours/,(225) 246-9240
East Baton Rouge,Walgreens #02995,3550 Government Street,Baton Rouge,"3550 Government Street, Baton Rouge, LA",https://www.walgreens.com/covid19vac,
East Baton Rouge,Walgreens #2982,5450 Plank Road,Baton Rouge,"5450 Plank Road, Baton Rouge, LA",https://www.walgreens.com/covid19vac,
East Baton Rouge,Walgreens #3399,7620 Jefferson Highway,Baton Rouge,"7620 Jefferson Highway, Baton Rouge, LA",https://www.walgreens.com/covid19vac,
East Baton Rouge,Prescriptions to Geaux #2,6251 Perkins Road,Baton Rouge,"6251 Perkins Road, Baton Rouge, LA",https://www.rxtogeaux.com/perkins,(225) 364-4337; (225) 361-1392
East Baton Rouge,Bellingrath Pharmacy,17070 Greenwell Springs Road,Greenwell Spring,"17070 Greenwell Springs Road, Greenwell Spring, LA",https://www.bellingrathpharmacy.com/contact,(225) 508-4977
East Baton Rouge,Dry's Pharmacy,4344 Church Street,Zachary,"4344 Church Street, Zachary, LA",https://dryspharmacy.com/,(225) 654-1175
East Baton Rouge,Medical Pharmacy West,2250 Church Street,Zachary,"2250 Church Street, Zachary, LA",http://medicalpharmacyla.com/contact.php,(225) 658-8101
East Baton Rouge,Southeast Community Health - Zachary,6351 Main Street,Zachary,"6351 Main Street, Zachary, LA",https://www.shchc.org/locations,(225) 306-2000
East Baton Rouge,Albertons/Savon #1311,7515 Perkins Road,Baton Rouge,"7515 Perkins Road, Baton Rouge, LA",https://www.mhealthsystem.com/Albertsons1311,
East Baton Rouge,Open Health Care Clinics,3801 North Boulevard,Baton Rouge,"3801 North Boulevard, Baton Rouge, LA",https://www.ohcc.org/location,(225) 655-6422
East Carroll,Fred's Pharmacy #3958,303 N Hood Steret,Lake Providence,"303 N Hood Steret, Lake Providence, LA",https://www.facebook.com/expressrxlakeprovidence/,(318) 559-2433
East Feliciana,Curry Pharmacy,10463 Plank Road,Clinton,"10463 Plank Road, Clinton, LA",https://www.currypharmacy-clinton.com/clinton-location,(225) 953-7198
East Feliciana,McDonald Pharmacy,1701 Charter Street,Jackson,"1701 Charter Street, Jackson, LA",https://www.facebook.com/mcdonaldpharmacy/,(225) 634-2470
East Feliciana,RKM Primary Care - East Baton Rouge,11990 Jackson Street,Clinton,"11990 Jackson Street, Clinton, LA",https://rkmcare.org/,
East Feliciana,RKM Primary Care - Loranger,11990 Jackson Street,Clinton,"11990 Jackson Street, Clinton, LA",https://rkmcare.org/,
East Feliciana,RKM Primary Care - West Baton Rouge,11990 Jackson Street,Clinton,"11990 Jackson Street, Clinton, LA",https://rkmcare.org/,
Evangeline,Reed's Family Pharmacy,1009 Sixth Street,Mamou,"1009 Sixth Street, Mamou, LA",https://www.facebook.com/reedspharmacyrx/,(337) 550-4407
Evangeline,Evangeline Drug Store,10 W Main Street,Ville Platte,"10 W Main Street, Ville Platte, LA",,(337) 363-3456
Evangeline,Thrifty Way Pharmacy of Ville Platte,1011 W Lincoln Road,Ville Platte,"1011 W Lincoln Road, Ville Platte, LA",mailto:twpharm@yahoo.com,(337) 831-3628
Franklin,K & S Drugs,802 Adams Street,Winnsboro,"802 Adams Street, Winnsboro, LA",http://www.kandsdrugs.com/,(318) 435-7858
Franklin,Walmart Pharmacy #976/Winnsboro,3360 Front Street,Winnsboro,"3360 Front Street, Winnsboro, LA",https://www.walmart.com/store/976-winnsboro-la,(318) 435-9011
Grant,Grant Community Health Center,340 Webb Smith Drive,Colfax,"340 Webb Smith Drive, Colfax, LA",https://docs.google.com/forms/d/e/1FAIpQLScoSyXmUE6w-llD,(318) 627-5021
Grant,East Grant Community Health Center,9465 US Highway 165,Pollock,"9465 US Highway 165, Pollock, LA",https://docs.google.com/forms/d/e/1FAIpQLScoSyXmUE6w-llD,(318) 310-2510
Iberia,Iberia Comprehensive Community Health Cen,806 Jefferson Terrace Boulevar,New Iberia,"806 Jefferson Terrace Boulevar, New Iberia, LA",https://www.icchc.org/contact,(337) 365-4945
Iberia,L & M Pharmacy,1033 Andre Street,New Iberia,"1033 Andre Street, New Iberia, LA",https://www.lmpharmacy.com/contact,(337) 365-1411
Iberia,Super 1 Pharmacy #621,939 S Lewis Street,New Iberia,"939 S Lewis Street, New Iberia, LA",https://www.super1foods.com/stores/new-iberia-621/6037,(337) 364-1368
Iberia,Walgreens #17524,1150 W St. Peter Street,New Iberia,"1150 W St. Peter Street, New Iberia, LA",https://www.walgreens.com/covid19vac,
Iberia,Walmart Pharmacy #533/New Iberia,1205 E Admiral Doyle Drive,New Iberia,"1205 E Admiral Doyle Drive, New Iberia, LA",https://www.walmart.com/store/533-new-iberia-la,(337) 364-3841
Iberia,Walmart Pharmacy #5773/New Iberia,1201 Parkview Drive,New Iberia,"1201 Parkview Drive, New Iberia, LA",https://www.walmart.com/store/5773-new-iberia-la,(337) 551-6570
Iberville,Goudeau's Pharmacy,57930 LaBauve Avenue,Plaquemine,"57930 LaBauve Avenue, Plaquemine, LA",https://www.goudeauspharmacy.com/hours-location,(225) 687-4349
Iberville,Walgreens Pharmacy #21157,24555 Highway 1,Plaquemine,"24555 Highway 1, Plaquemine, LA",https://www.walgreens.com/covid19vac,
Iberville,Viallon Drug Co.,32555 Bowie Street,White Castle,"32555 Bowie Street, White Castle, LA",https://viallondrug.com/contact,(225) 545-2402
Jackson,Mercy Medical Health Center,4633 Quitman Highway,Hodge,"4633 Quitman Highway, Hodge, LA",https://www.facebook.com/mercymedicalllc/,(318) 259-1100
Jackson,Mitchell's Pharmacy,202 E Main Street,Jonesboro,"202 E Main Street, Jonesboro, LA",https://www.mitchellspharmacy.com/contact,(318) 259-7466
Jefferson,Carr Drugs #2,91 Westbank Expressway,Gretna,"91 Westbank Expressway, Gretna, LA",https://www.carrdrugs.com/locations,(504) 366-1200
Jefferson,Ochsner Pharmacy and Wellness West Bank,2500 Belle Chasse Highway,Gretna,"2500 Belle Chasse Highway, Gretna, LA",https://www.ochsner.org/locations/pharmacy-wellness-ochsne,(504) 595-8180
Jefferson,Priority Health Care,12a Westbank Expressway,Gretna,"12a Westbank Expressway, Gretna, LA",https://www.priorityhealthcare.org/pharmacy,(504) 509-5442
Jefferson,Ciolino Drugs,7335 Jefferson Highway,Harahan,"7335 Jefferson Highway, Harahan, LA",https://www.ciolinodrugs.com/,(504) 602-9744
Jefferson,Walgreens Pharmacy #17199,8225 Jefferson Highway,Harahan,"8225 Jefferson Highway, Harahan, LA",https://www.walgreens.com/covid19vac,
Jefferson,Walgreens #3156,1556 Lapalco Boulevard,Harvey,"1556 Lapalco Boulevard, Harvey, LA",https://www.walgreens.com/covid19vac,
Jefferson,Westbank Pharmacy,3709 Westbank Expressway,Harvey,"3709 Westbank Expressway, Harvey, LA",,(504) 340-0777
Jefferson,LaPharmacy,839 S Clearview Parkway,Jefferson,"839 S Clearview Parkway, Jefferson, LA",https://mylapharmacy.com/contact/,(504) 581-8876
Jefferson,All Saints Pharmacy,2124 38th Street,Kenner,"2124 38th Street, Kenner, LA",https://www.allsaintspharmacy.com/contact,(504) 443-1294
Jefferson,Comeaux Pharmacy,2305 West Esplanade Avenue,Kenner,"2305 West Esplanade Avenue, Kenner, LA",https://www.comeauxpharmacy.com/ ,(504) 305-1745
Jefferson,DePaul Community Health Centers - Kenner,3715 Williams Boulevard,Kenner,"3715 Williams Boulevard, Kenner, LA",https://www.depaulcommunityhealthcenters.org/locations,(504) 468-4437
Jefferson,Ochsner Pharmacy and Wellness Kenner,200 W Esplanade Avenue,Kenner,"200 W Esplanade Avenue, Kenner, LA",https://www.ochsner.org/locations/pharmacy-wellness-ochsne,(504) 464-8250
Jefferson,Walgreens Pharmacy #12924,4100 Williams Boulevard,Kenner,"4100 Williams Boulevard, Kenner, LA",https://www.walgreens.com/covid19vac,
Jefferson,JeffCare West Jefferson Health Center,5001 West Bank Expressway,Marrero,"5001 West Bank Expressway, Marrero, LA",https://www.jphsa.org/jeffcare,(504) 349-8833
Jefferson,Rose's Pharmacy,4704 4th Street,Marrero,"4704 4th Street, Marrero, LA",,(504) 301-2900
Jefferson,"A-1 Pharmacy Metairie, LLC",3501 Severn Avenue,Metairie,"3501 Severn Avenue, Metairie, LA",https://a1dp.com/locations/metairie,(504) 875-2330
Jefferson,Chateau Drugs,3544 W Esplanade Avenue,Metairie,"3544 W Esplanade Avenue, Metairie, LA",http://www.chateaudrugsrx.com/,(504) 889-2300
Jefferson,Depaul CHC - Metairie,111 N Causeway Boulevard,Metairie,"111 N Causeway Boulevard, Metairie, LA",https://www.depaulcommunityhealthcenters.org/locations,(504) 482-0084
Jefferson,JeffCare East Jefferson Health Center,3616 S I-10 Service Road West,Metairie,"3616 S I-10 Service Road West, Metairie, LA",https://www.jphsa.org/jeffcare,(504) 838-5257
Jefferson,NOLA Discount Pharmacy of Metairie,1107 Veterans Boulevard,Metairie,"1107 Veterans Boulevard, Metairie, LA",https://www.nolapharmacy.com/locations/veterans-location,(504) 835-6060
Jefferson,Vinnie's Pharmacy,5004 West Esplanade Avenue,Metairie,"5004 West Esplanade Avenue, Metairie, LA",https://www.vinniesrx.com/,(504) 420-7979
Jefferson,Walgreens #15571,4501 Airline Drive,Metairie,"4501 Airline Drive, Metairie, LA",https://www.walgreens.com/covid19vac,
Jefferson,Walgreens #13658,9705 Jefferson Highway,River Ridge,"9705 Jefferson Highway, River Ridge, LA",https://www.walgreens.com/covid19vac,
Jefferson,Walgreens #5230,818 Westbank Expressway,Westwego,"818 Westbank Expressway, Westwego, LA",https://www.walgreens.com/covid19vac,
Jefferson,InclusivCare RFK Jean Lafitte Clinic,3932 U. S. Highway 90,Avondale,"3932 U. S. Highway 90, Avondale, LA",https://jchcc.org/,(504) 689-3300
Jefferson,JCHCC InclusivCare - Avondale,3932 U. S. Highway 90,Avondale,"3932 U. S. Highway 90, Avondale, LA",https://jchcc.org/,(504) 436-2223
Jefferson,JCHCC InclusivCare - Kenner,2552 Williams Boulevard,Kenner,"2552 Williams Boulevard, Kenner, LA",https://jchcc.org/,(504) 463-3002
Jefferson,JCHCC InclusivCare - Marrero,7017 Lapalco Boulevard,Marrero,"7017 Lapalco Boulevard, Marrero, LA",https://jchcc.org/,(504) 341-4006
Jefferson Davis,Walgreens #10577,1804 Elton Road,Jennings,"1804 Elton Road, Jennings, LA",https://www.walgreens.com/covid19vac,
Jefferson Davis,Walmart Pharmacy #386/Jennings,303 E Interstate Drive,Jennings,"303 E Interstate Drive, Jennings, LA",https://www.walmart.com/store/386-jennings-la,(337) 824-9010
Lafayette,Albertsons/Savon #2756,1210 Albertsons Parkway,Broussard,"1210 Albertsons Parkway, Broussard, LA",https://www.mhealthsystem.com/Albertsons2756 ,
Lafayette,Towne Pharmacy,103 E Main Street,Broussard,"103 E Main Street, Broussard, LA",https://www.mytownepharmacy.com/contact,(337) 839-8880
Lafayette,Walgreens Pharmacy #10126,105 St. Nazaire Road,Broussard,"105 St. Nazaire Road, Broussard, LA",https://www.walgreens.com/covid19vac,
Lafayette,"Melancon Pharmacy, Inc.",730 Veterans Drive,Carencro,"730 Veterans Drive, Carencro, LA",,(337) 896-8434
Lafayette,Duson's Cashway Pharmacy,110 W First Street,Duson,"110 W First Street, Duson, LA",https://cashwayinscott.com/,(337) 935-6439
Lafayette,Genoa Healthcare Pharmacy #20172,302 Dulles Drive,Lafayette,"302 Dulles Drive, Lafayette, LA",https://www.genoahealthcare.com/locations/louisiana/,(337) 326-5710
Lafayette,Medicine Bin Plus,1105 W Willow Street,Lafayette,"1105 W Willow Street, Lafayette, LA",,(337) 408-8800
Lafayette,Neighbors Pharmacy,6770 Johnston Street,Lafayette,"6770 Johnston Street, Lafayette, LA",https://neighborspharmacy.com/contact-us/,(337) 706-7706
Lafayette,Stafford HealthCare Walk-in Clinic,207 Westmark Boulevard,Lafayette,"207 Westmark Boulevard, Lafayette, LA",http://www.staffordclinic.com/,(337) 981-6811
Lafayette,Super 1 Pharmacy #623,3747 Ambassador Caffery,Lafayette,"3747 Ambassador Caffery, Lafayette, LA",https://www.super1foods.com/stores/lafayette-623/6039,(337) 988-2278
Lafayette,Super 1 Pharmacy #627,215 W Willow Street,Lafayette,"215 W Willow Street, Lafayette, LA",https://www.super1foods.com/stores/lafayette-627/6043,(337) 572-9053
Lafayette,Surrey Street Community Health Center,1004 Surrey Street,Lafayette,"1004 Surrey Street, Lafayette, LA",https://www.icchc.org/lafayetter-la,(337) 456-6768
Lafayette,Scott Pharmacy,1000 St. Mary Street,Scott,"1000 St. Mary Street, Scott, LA",,(337) 235-5216
Lafayette,Super 1 Pharmacy #643,200 Destination Pointe Lane,Scott,"200 Destination Pointe Lane, Scott, LA",https://www.super1foods.com/stores/scott-643/6059,(337) 210-2001
Lafayette,Super 1 Pharmacy #645,1500 Bonin Road,Youngsville,"1500 Bonin Road, Youngsville, LA",https://www.super1foods.com/stores/youngsville-645/6061,(337) 573-6176
Lafourche,Willow Bark Pharmacy #1,2138 Bayou Blue Road,Houma,"2138 Bayou Blue Road, Houma, LA",http://www.willowbarkpharmacy.com/about_us.html,(985) 876-5502
Lafourche,Walgreens Pharmacy #17785,13998 W Main Street,Larose,"13998 W Main Street, Larose, LA",https://www.walgreens.com/covid19vac,
Lafourche,Ochsner Pharmacy and Wellness St Anne,108 Acadia Park Drive,Raceland,"108 Acadia Park Drive, Raceland, LA",https://www.ochsner.org/locations/pharmacy-wellness-ochsne,(985) 297-6016
Lafourche,Life Coast Community Health Center,1101 Audubon Avenue,Thibodaux,"1101 Audubon Avenue, Thibodaux, LA",https://www.lifecoasthealth.com/,(985) 492-6170
Lafourche,Walgreens Pharmacy #4140,195 N Canal Boulevard,Thibodaux,"195 N Canal Boulevard, Thibodaux, LA",https://www.walgreens.com/covid19vac,
Lafourche,Willow Bark Pharmacy #2,606 Highway 20,Thibodaux,"606 Highway 20, Thibodaux, LA",http://www.willowbarkpharmacy.com/about_us.html,(985) 633-2275
LaSalle,"Chaudhry Clinic, LLC",11809 Highway 84 West,Jena,"11809 Highway 84 West, Jena, LA",,(318) 992-4133
Lincoln,PHSC Grambling Family Health Center,7604 Highway 80,Grambling,"7604 Highway 80, Grambling, LA",https://www.phsccenter.org/locations.php,(318) 596-1700
Lincoln,Lincoln Community Health Center,1140 South Vienna Street,Ruston,"1140 South Vienna Street, Ruston, LA",https://docs.google.com/forms/d/e/1FAIpQLScoSyXmUE6w-llD,(318) 224-7190
Lincoln,Prescription Shoppe Pharmacy Ruston,104 West Line Avenue,Ruston,"104 West Line Avenue, Ruston, LA",https://www.prescriptionshopperx.com/contact,(318) 255-7363
