,longitude,latitude,Parish,Facility,Street,City,Address,Website,Phone
18,-92.070154,31.125164,Avoyelles,Walgreens #11830,236 S Main Street,Marksville,"236 S Main Street, Marksville, LA",https://www.walgreens.com/covid19vac,
19,-93.299913,30.846282,Beauregard,Brookshire Brothers Pharmacy #50,1103 W First Street,DeRidder,"1103 W First Street, DeRidder, LA",https://www.brookshirebrothers.com/store-location/store-50,(337) 463-2258
20,-93.287222,30.860841,Beauregard,Walgreens #10537,916 N Pine Street,DeRidder,"916 N Pine Street, DeRidder, LA",https://www.walgreens.com/covid19vac,
21,-92.912984,32.558228,Bienville,Arcadia Family Pharmacy,1311 Hazel Street,Arcadia,"1311 Hazel Street, Arcadia, LA",https://www.arcadiafamilypharmacy.com/,(318) 263-3948
22,-93.28366,32.33539,Bienville,Bienville Community Health Center,3265 Military Rd,Ringgold,"3265 Military Rd, Ringgold, LA",,(318) 894-2341
23,-93.744577,32.678,Bossier,Brookshires Pharmacy #017,6280 Highway 3,Benton,"6280 Highway 3, Benton, LA",https://www.brookshires.com/stores/benton-17/6347,(318) 965-3667
24,-93.663101,32.458052,Bossier,Brookshires Pharmacy #107,4918 Barksdale Boulevard,Bossier City,"4918 Barksdale Boulevard, Bossier City, LA",https://www.brookshires.com/stores/bossier-city-107/6320,(318) 549-2107
25,-93.709449,32.534553,Bossier,David Raines CHC - Bossier,1514 Doctors Drive,Bossier City,"1514 Doctors Drive, Bossier City, LA",https://www.davidraineschc.org/locations,(318) 549-2500​
26,-93.706465,32.55068,Bossier,Kroger Pharmacy #534,1050 George Dement Boulevard,Bossier City,"1050 George Dement Boulevard, Bossier City, LA",https://www.kroger.com/rx/guest/get-vaccinated,(318) 747-3162
27,-93.69473,32.519644,Bossier,Super 1 Pharmacy #616,1870 Airline Drive,Bossier City,"1870 Airline Drive, Bossier City, LA",https://www.super1foods.com/stores/bossier-city-616/6032,(318) 746-8401
28,-93.711011,32.566136,Bossier,Walgreens #9998,3400 Airline Drive,Bossier City,"3400 Airline Drive, Bossier City, LA",https://www.walgreens.com/covid19vac,
29,-93.61239,32.55606,Bossier,Brookshires Pharmacy #057,1125 East Highway 80,Haughton,"1125 East Highway 80, Haughton, LA",https://www.brookshires.com/stores/haughton-57/6386,(318) 949-4131
30,-93.699629,32.905638,Bossier,"Kelly Pharmacy, Inc.",302 E Palmetto Avenue,Plain Dealing,"302 E Palmetto Avenue, Plain Dealing, LA",http://www.kellyrx.com/,(318) 326-4229
31,-93.70862,32.45635,Caddo,Albertsons/Savon #218,105 E Southfield Road,Shreveport,"105 E Southfield Road, Shreveport, LA",https://www.mhealthsystem.com/Albertsons0218,
32,-93.778273,32.483555,Caddo,Boudreaux's Compounding Pharmacy,2551 Greenwood Road,Shreveport,"2551 Greenwood Road, Shreveport, LA",https://www.boudreauxscompounding.com/,(318) 631-2005
33,-93.74633,32.45498,Caddo,Brookshires Pharmacy #018,5828 Line Avenue,Shreveport,"5828 Line Avenue, Shreveport, LA",https://www.brookshires.com/stores/shreveport-18/6348,(318) 869-0669
34,-93.781927,32.558349,Caddo,Brookshires Pharmacy #024,3000 N Market Street,Shreveport,"3000 N Market Street, Shreveport, LA",https://www.brookshires.com/stores/shreveport-24/6355,(318) 424-5560
35,-93.80618,32.40145,Caddo,Brookshires Pharmacy #037,9250 Mansfield Road,Shreveport,"9250 Mansfield Road, Shreveport, LA",https://www.brookshires.com/stores/shreveport-37/6367,(318) 686-6311
36,-93.82841,32.53692,Caddo,David Raines CHC - Shreveport North,1625 David Raines Road,Shreveport,"1625 David Raines Road, Shreveport, LA",https://www.davidraineschc.org/locations,(318) 425-2252
37,-93.78724,32.44154,Caddo,David Raines CHC - Shreveport West,3021 W 70th Street,Shreveport,"3021 W 70th Street, Shreveport, LA",https://www.davidraineschc.org/locations,(318) 507-3140
38,-93.70827,32.45481,Caddo,Drug Emporium #210,5819 E Kings Highway,Shreveport,"5819 E Kings Highway, Shreveport, LA",https://www.drugemporiuminc.com/stores/shreveport-la/,(318) 861-7896
39,-93.728496,32.393758,Caddo,Kroger Pharmacy #533,9484 Ellerbe Road,Shreveport,"9484 Ellerbe Road, Shreveport, LA",https://www.kroger.com/rx/guest/get-vaccinated,(318) 517-6973
40,-93.721415,32.44463,Caddo,Kroger Pharmacy #539,6652 Youree Drive,Shreveport,"6652 Youree Drive, Shreveport, LA",https://www.kroger.com/rx/guest/get-vaccinated,(318) 795-9966
41,-93.779614,32.454491,Caddo,Super 1 Pharmacy #608,2640 Waggoner Avenue,Shreveport,"2640 Waggoner Avenue, Shreveport, LA",https://www.super1foods.com/stores/shreveport-608/6025,(318) 631-2065
42,-93.796372,32.475172,Caddo,Walgreens #05181,3555 Greenwood Road,Shreveport,"3555 Greenwood Road, Shreveport, LA",https://www.walgreens.com/covid19vac,
43,-93.740409,32.482256,Caddo,Brookshires Pharmacy #78,510 Kings Hwy,Shreveport,"510 Kings Hwy, Shreveport, LA",https://www.brookshires.com/stores/shreveport-78/6405,(318) 424-0853
44,-93.437595,30.450927,Calcasieu,Brookshire Brothers Pharmacy #31,300 West Fourth Street,DeQuincy,"300 West Fourth Street, DeQuincy, LA",https://www.brookshirebrothers.com/store-location/store-31,(337) 786-5863
45,-93.265405,30.169691,Calcasieu,Albertsons/Savon #2798,2750 Country Club Road,Lake Charles,"2750 Country Club Road, Lake Charles, LA",https://www.mhealthsystem.com/Albertsons2798,
46,-93.22035,30.18509,Calcasieu,Albertsons/Savon #717,4060 Ryan Street South,Lake Charles,"4060 Ryan Street South, Lake Charles, LA",https://www.mhealthsystem.com/Albertsons0717,
47,-93.216411,30.197945,Calcasieu,Boudreaux's New Drug Store,404 E Prien Lake Road,Lake Charles,"404 E Prien Lake Road, Lake Charles, LA",https://covidlakecharles.com,(337) 436-7216
48,-93.209633,30.18547,Calcasieu,Genoa Healthcare Pharmacy #10938,4105 Kirkman Street,Lake Charles,"4105 Kirkman Street, Lake Charles, LA",https://www.genoahealthcare.com/locations/louisiana/,(337) 426-0906
49,-93.263987,30.168985,Calcasieu,Hobgood Pharmacy,2640 Country Club Road,Lake Charles,"2640 Country Club Road, Lake Charles, LA",https://www.hobgoodrx.net/,(337) 602-6027
50,-93.251795,30.170522,Calcasieu,Kroger Pharmacy #394,2010 Country Club Road,Lake Charles,"2010 Country Club Road, Lake Charles, LA",https://www.kroger.com/rx/guest/get-vaccinated,(337) 990-4902
51,-93.202,30.31934,Calcasieu,Pettit's Family Pharmacy,114 Gloria Drive,Lake Charles,"114 Gloria Drive, Lake Charles, LA",https://www.pettitspharmacy.com/,(337) 405-7880
52,-93.180888,30.212721,Calcasieu,Walgreens #3373,2000 Gertsner Memorial Drive,Lake Charles,"2000 Gertsner Memorial Drive, Lake Charles, LA",https://www.walgreens.com/covid19vac,
53,-93.219564,30.205986,Calcasieu,Walgreens #6219,2636 Ryan Street,Lake Charles,"2636 Ryan Street, Lake Charles, LA",https://www.walgreens.com/covid19vac,
54,-93.194888,30.301025,Calcasieu,Walgreens #7197,120 N Highway 171,Moss Bluff,"120 N Highway 171, Moss Bluff, LA",https://www.walgreens.com/covid19vac,
55,-93.376327,30.225435,Calcasieu,Brookshire Brothers Pharmacy #47,1612 Ruth Street,Sulphur,"1612 Ruth Street, Sulphur, LA",https://www.brookshirebrothers.com/store-location/store-47,(337) 527-0033
56,-93.360022,30.227756,Calcasieu,Walgreens #2920,1021 Beglis Parkway,Sulphur,"1021 Beglis Parkway, Sulphur, LA",https://www.walgreens.com/covid19vac,
57,-92.08011,32.15368,Caldwell,Caldwell Drug,8141 Highway 165,Columbia,"8141 Highway 165, Columbia, LA",https://www.facebook.com/Caldwell-Drug-108338354288122/,(318) 502-4032
58,-92.08011,32.15368,Caldwell,J & K Drugs,7190 Highway 165,Columbia,"7190 Highway 165, Columbia, LA",,(318) 649-0825
59,-93.125635,29.81602,Cameron,South Cameron Hospital,5360 W Creole Highway,Cameron,"5360 W Creole Highway, Cameron, LA",,(337) 605-0531
60,-91.815562,31.623721,Catahoula,Catahoula Parish Health Unit (@ Jonesville Armory),610 Dorothy Drive,Jonesville,"610 Dorothy Drive, Jonesville, LA",https://laredcap.oph.dhh.la.gov/surveys/?s=NL487F89T9,(318) 339-8352
61,-93.139248,32.961197,Claiborne,"Ted's Pharmacy, LLC",1866 Main Street,Haynesville,"1866 Main Street, Haynesville, LA",http://www.tedsrx.com/,(318) 624-1053
62,-93.057094,32.80056,Claiborne,Brookshires Pharmacy #066,817 W Main Street,Homer,"817 W Main Street, Homer, LA",https://www.brookshires.com/stores/homer-66/6393,(318) 927-9651
63,-93.055927,32.801599,Claiborne,Claiborne Pharmacy,833 W Main Street,Homer,"833 W Main Street, Homer, LA",https://www.claibornepharmacy.com/,(318) 927-3523
64,-91.556051,31.649472,Concordia,Scott's Pharmacy Ferriday,114 Serio Boulevard,Ferriday,"114 Serio Boulevard, Ferriday, LA",https://www.scottspharmacy.org/#tab6,(318) 757-3035
65,-91.467633,31.574336,Concordia,"Book's Pharmacy, LTD",1158 Logan Sewell Drive,Vidalia,"1158 Logan Sewell Drive, Vidalia, LA",https://www.bookspharmacy.com/contact,(318) 414-2616
66,-91.427752,31.567113,Concordia,Reeves Drug Store,307 Carter Street,Vidalia,"307 Carter Street, Vidalia, LA",https://reevesdrugs.com/locations,(318) 336-5112
67,-93.696742,32.038174,DeSoto,Brookshires Pharmacy #091,1117 Polk Street,Mansfield,"1117 Polk Street, Mansfield, LA",https://www.brookshires.com/stores/mansfield-91/6418,(318) 871-2976
68,-91.128604,30.581838,East Baton Rouge,Walgreens Pharmacy #13875,6485 Groom Road,Baker,"6485 Groom Road, Baker, LA",https://www.walgreens.com/covid19vac,
69,-91.015028,30.406403,East Baton Rouge,Albertsons/Savon #3713,15232 George O'Neal Road,Baton Rouge,"15232 George O'Neal Road, Baton Rouge, LA",https://www.mhealthsystem.com/Albertsons3713,
70,-91.008574,30.357554,East Baton Rouge,Albertsons/Savon #3747,15128 Airline Highway,Baton Rouge,"15128 Airline Highway, Baton Rouge, LA",https://www.mhealthsystem.com/Albertsons3747,
71,-91.140187,30.445041,East Baton Rouge,Albertsons/Savon #3750,4857 Government Street,Baton Rouge,"4857 Government Street, Baton Rouge, LA",https://www.mhealthsystem.com/Albertsons3750,
72,-91.141056,30.421924,East Baton Rouge,Albertsons/Savon #709,2950 College Drive,Baton Rouge,"2950 College Drive, Baton Rouge, LA",https://www.mhealthsystem.com/Albertsons0709,
73,-91.114878,30.433607,East Baton Rouge,"Bocage Pharmacy Centre, Inc.",7150 Jefferson Highway,Baton Rouge,"7150 Jefferson Highway, Baton Rouge, LA",https://www.bocagepharmacycentre.com/,(225) 364-2847
74,-91.156185,30.450026,East Baton Rouge,"CareSouth, Capitol City Family Health Baton Rouge #2",3140 Florida Street,Baton Rouge,"3140 Florida Street, Baton Rouge, LA",https://www.caresouth.org/locations/baton-rouge/,(225) 650-2000
75,-91.116984,30.474088,East Baton Rouge,Genoa Healthcare Pharmacy #10620,2751 Wooddale Boulevard,Baton Rouge,"2751 Wooddale Boulevard, Baton Rouge, LA",https://www.genoahealthcare.com/locations/louisiana/,(225) 362-5342
76,-91.090621,30.419259,East Baton Rouge,Lagniappe Pharmacy #3,3490 Drusilla Lane,Baton Rouge,"3490 Drusilla Lane, Baton Rouge, LA",https://www.lagniapperx.com/locations,(225) 367-6488
77,-91.101838,30.446956,East Baton Rouge,RKM Primary Care - Livingston,455 East Airport Ave.,Baton Rouge,"455 East Airport Ave., Baton Rouge, LA",https://rkmcare.org/,
78,-91.112244,30.398036,East Baton Rouge,The Baton Rouge Clinic,7373 Perkins Road,Baton Rouge,"7373 Perkins Road, Baton Rouge, LA",https://batonrougeclinic.com/hours/,(225) 246-9240
79,-91.153407,30.443844,East Baton Rouge,Walgreens #02995,3550 Government Street,Baton Rouge,"3550 Government Street, Baton Rouge, LA",https://www.walgreens.com/covid19vac,
80,-91.152575,30.498954,East Baton Rouge,Walgreens #2982,5450 Plank Road,Baton Rouge,"5450 Plank Road, Baton Rouge, LA",https://www.walgreens.com/covid19vac,
81,-91.109514,30.430357,East Baton Rouge,Walgreens #3399,7620 Jefferson Highway,Baton Rouge,"7620 Jefferson Highway, Baton Rouge, LA",https://www.walgreens.com/covid19vac,
82,-91.123346,30.40586,East Baton Rouge,Prescriptions to Geaux #2,6251 Perkins Road,Baton Rouge,"6251 Perkins Road, Baton Rouge, LA",https://www.rxtogeaux.com/perkins,(225) 364-4337; (225) 361-1392
83,-90.998886,30.517608,East Baton Rouge,Bellingrath Pharmacy,17070 Greenwell Springs Road,Greenwell Spring,"17070 Greenwell Springs Road, Greenwell Spring, LA",https://www.bellingrathpharmacy.com/contact,(225) 508-4977
84,-91.158086,30.650116,East Baton Rouge,Dry's Pharmacy,4344 Church Street,Zachary,"4344 Church Street, Zachary, LA",https://dryspharmacy.com/,(225) 654-1175
85,-91.180829,30.652792,East Baton Rouge,Medical Pharmacy West,2250 Church Street,Zachary,"2250 Church Street, Zachary, LA",http://medicalpharmacyla.com/contact.php,(225) 658-8101
86,-91.137481,30.650868,East Baton Rouge,Southeast Community Health - Zachary,6351 Main Street,Zachary,"6351 Main Street, Zachary, LA",https://www.shchc.org/locations,(225) 306-2000
87,-91.110031,30.396623,East Baton Rouge,Albertons/Savon #1311,7515 Perkins Road,Baton Rouge,"7515 Perkins Road, Baton Rouge, LA",https://www.mhealthsystem.com/Albertsons1311,
88,-91.150935,30.448833,East Baton Rouge,Open Health Care Clinics,3801 North Boulevard,Baton Rouge,"3801 North Boulevard, Baton Rouge, LA",https://www.ohcc.org/location,(225) 655-6422
89,-91.171153,32.808943,East Carroll,Fred's Pharmacy #3958,303 N Hood Steret,Lake Providence,"303 N Hood Steret, Lake Providence, LA",https://www.facebook.com/expressrxlakeprovidence/,(318) 559-2433
90,-91.009596,30.857448,East Feliciana,Curry Pharmacy,10463 Plank Road,Clinton,"10463 Plank Road, Clinton, LA",https://www.currypharmacy-clinton.com/clinton-location,(225) 953-7198
91,-91.214925,30.837416,East Feliciana,McDonald Pharmacy,1701 Charter Street,Jackson,"1701 Charter Street, Jackson, LA",https://www.facebook.com/mcdonaldpharmacy/,(225) 634-2470
92,-91.022377,30.86496,East Feliciana,RKM Primary Care - East Baton Rouge,11990 Jackson Street,Clinton,"11990 Jackson Street, Clinton, LA",https://rkmcare.org/,
93,-91.022377,30.86496,East Feliciana,RKM Primary Care - Loranger,11990 Jackson Street,Clinton,"11990 Jackson Street, Clinton, LA",https://rkmcare.org/,
94,-91.022377,30.86496,East Feliciana,RKM Primary Care - West Baton Rouge,11990 Jackson Street,Clinton,"11990 Jackson Street, Clinton, LA",https://rkmcare.org/,
95,-92.419719,30.636755,Evangeline,Reed's Family Pharmacy,1009 Sixth Street,Mamou,"1009 Sixth Street, Mamou, LA",https://www.facebook.com/reedspharmacyrx/,(337) 550-4407
96,-92.27424,30.68829,Evangeline,Evangeline Drug Store,10 W Main Street,Ville Platte,"10 W Main Street, Ville Platte, LA",,(337) 363-3456
97,-92.25744,30.69275,Evangeline,Thrifty Way Pharmacy of Ville Platte,1011 W Lincoln Road,Ville Platte,"1011 W Lincoln Road, Ville Platte, LA",mailto:twpharm@yahoo.com,(337) 831-3628
98,-91.719684,32.165446,Franklin,K & S Drugs,802 Adams Street,Winnsboro,"802 Adams Street, Winnsboro, LA",http://www.kandsdrugs.com/,(318) 435-7858
99,-91.728448,32.180922,Franklin,Walmart Pharmacy #976/Winnsboro,3360 Front Street,Winnsboro,"3360 Front Street, Winnsboro, LA",https://www.walmart.com/store/976-winnsboro-la,(318) 435-9011
100,-92.69008,31.52377,Grant,Grant Community Health Center,340 Webb Smith Drive,Colfax,"340 Webb Smith Drive, Colfax, LA",https://docs.google.com/forms/d/e/1FAIpQLScoSyXmUE6w-llD,(318) 627-5021
101,-92.405218,31.46586,Grant,East Grant Community Health Center,9465 US Highway 165,Pollock,"9465 US Highway 165, Pollock, LA",https://docs.google.com/forms/d/e/1FAIpQLScoSyXmUE6w-llD,(318) 310-2510
102,-91.811115,29.988471,Iberia,Iberia Comprehensive Community Health Cen,806 Jefferson Terrace Boulevar,New Iberia,"806 Jefferson Terrace Boulevar, New Iberia, LA",https://www.icchc.org/contact,(337) 365-4945
103,-91.792664,30.007417,Iberia,L & M Pharmacy,1033 Andre Street,New Iberia,"1033 Andre Street, New Iberia, LA",https://www.lmpharmacy.com/contact,(337) 365-1411
104,-91.819031,29.986454,Iberia,Super 1 Pharmacy #621,939 S Lewis Street,New Iberia,"939 S Lewis Street, New Iberia, LA",https://www.super1foods.com/stores/new-iberia-621/6037,(337) 364-1368
105,-91.83243,30.019803,Iberia,Walgreens #17524,1150 W St. Peter Street,New Iberia,"1150 W St. Peter Street, New Iberia, LA",https://www.walgreens.com/covid19vac,
106,-91.815633,29.985693,Iberia,Walmart Pharmacy #533/New Iberia,1205 E Admiral Doyle Drive,New Iberia,"1205 E Admiral Doyle Drive, New Iberia, LA",https://www.walmart.com/store/533-new-iberia-la,(337) 364-3841
107,-91.798216,30.00111,Iberia,Walmart Pharmacy #5773/New Iberia,1201 Parkview Drive,New Iberia,"1201 Parkview Drive, New Iberia, LA",https://www.walmart.com/store/5773-new-iberia-la,(337) 551-6570
108,-91.233077,30.286383,Iberville,Goudeau's Pharmacy,57930 LaBauve Avenue,Plaquemine,"57930 LaBauve Avenue, Plaquemine, LA",https://www.goudeauspharmacy.com/hours-location,(225) 687-4349
109,-91.22702,30.28271,Iberville,Walgreens Pharmacy #21157,24555 Highway 1,Plaquemine,"24555 Highway 1, Plaquemine, LA",https://www.walgreens.com/covid19vac,
110,-91.1473,30.1681,Iberville,Viallon Drug Co.,32555 Bowie Street,White Castle,"32555 Bowie Street, White Castle, LA",https://viallondrug.com/contact,(225) 545-2402
111,-92.729102,32.270164,Jackson,Mercy Medical Health Center,4633 Quitman Highway,Hodge,"4633 Quitman Highway, Hodge, LA",https://www.facebook.com/mercymedicalllc/,(318) 259-1100
112,-92.712457,32.241047,Jackson,Mitchell's Pharmacy,202 E Main Street,Jonesboro,"202 E Main Street, Jonesboro, LA",https://www.mitchellspharmacy.com/contact,(318) 259-7466
113,-90.05133,29.912222,Jefferson,Carr Drugs #2,91 Westbank Expressway,Gretna,"91 Westbank Expressway, Gretna, LA",https://www.carrdrugs.com/locations,(504) 366-1200
114,-90.02756,29.884437,Jefferson,Ochsner Pharmacy and Wellness West Bank,2500 Belle Chasse Highway,Gretna,"2500 Belle Chasse Highway, Gretna, LA",https://www.ochsner.org/locations/pharmacy-wellness-ochsne,(504) 595-8180
115,-90.061446,29.90641,Jefferson,Priority Health Care,12a Westbank Expressway,Gretna,"12a Westbank Expressway, Gretna, LA",https://www.priorityhealthcare.org/pharmacy,(504) 509-5442
116,-90.20265,29.93557,Jefferson,Ciolino Drugs,7335 Jefferson Highway,Harahan,"7335 Jefferson Highway, Harahan, LA",https://www.ciolinodrugs.com/,(504) 602-9744
117,-90.21051,29.93694,Jefferson,Walgreens Pharmacy #17199,8225 Jefferson Highway,Harahan,"8225 Jefferson Highway, Harahan, LA",https://www.walgreens.com/covid19vac,
118,-90.04819,29.876259,Jefferson,Walgreens #3156,1556 Lapalco Boulevard,Harvey,"1556 Lapalco Boulevard, Harvey, LA",https://www.walgreens.com/covid19vac,
119,-90.08837,29.89721,Jefferson,Westbank Pharmacy,3709 Westbank Expressway,Harvey,"3709 Westbank Expressway, Harvey, LA",,(504) 340-0777
120,-90.18179,29.95646,Jefferson,LaPharmacy,839 S Clearview Parkway,Jefferson,"839 S Clearview Parkway, Jefferson, LA",https://mylapharmacy.com/contact/,(504) 581-8876
121,-90.237409,30.025511,Jefferson,All Saints Pharmacy,2124 38th Street,Kenner,"2124 38th Street, Kenner, LA",https://www.allsaintspharmacy.com/contact,(504) 443-1294
122,-90.23389,30.018551,Jefferson,Comeaux Pharmacy,2305 West Esplanade Avenue,Kenner,"2305 West Esplanade Avenue, Kenner, LA",https://www.comeauxpharmacy.com/ ,(504) 305-1745
123,-90.239429,30.024095,Jefferson,DePaul Community Health Centers - Kenner,3715 Williams Boulevard,Kenner,"3715 Williams Boulevard, Kenner, LA",https://www.depaulcommunityhealthcenters.org/locations,(504) 468-4437
124,-90.270791,30.024552,Jefferson,Ochsner Pharmacy and Wellness Kenner,200 W Esplanade Avenue,Kenner,"200 W Esplanade Avenue, Kenner, LA",https://www.ochsner.org/locations/pharmacy-wellness-ochsne,(504) 464-8250
125,-90.238132,30.030938,Jefferson,Walgreens Pharmacy #12924,4100 Williams Boulevard,Kenner,"4100 Williams Boulevard, Kenner, LA",https://www.walgreens.com/covid19vac,
126,-90.10091,29.89354,Jefferson,JeffCare West Jefferson Health Center,5001 West Bank Expressway,Marrero,"5001 West Bank Expressway, Marrero, LA",https://www.jphsa.org/jeffcare,(504) 349-8833
127,-90.098498,29.903608,Jefferson,Rose's Pharmacy,4704 4th Street,Marrero,"4704 4th Street, Marrero, LA",,(504) 301-2900
128,-90.158826,30.013278,Jefferson,"A-1 Pharmacy Metairie, LLC",3501 Severn Avenue,Metairie,"3501 Severn Avenue, Metairie, LA",https://a1dp.com/locations/metairie,(504) 875-2330
129,-90.16301,30.014051,Jefferson,Chateau Drugs,3544 W Esplanade Avenue,Metairie,"3544 W Esplanade Avenue, Metairie, LA",http://www.chateaudrugsrx.com/,(504) 889-2300
130,-90.1554,29.975365,Jefferson,Depaul CHC - Metairie,111 N Causeway Boulevard,Metairie,"111 N Causeway Boulevard, Metairie, LA",https://www.depaulcommunityhealthcenters.org/locations,(504) 482-0084
131,-90.163361,29.997144,Jefferson,JeffCare East Jefferson Health Center,3616 S I-10 Service Road West,Metairie,"3616 S I-10 Service Road West, Metairie, LA",https://www.jphsa.org/jeffcare,(504) 838-5257
132,-90.135901,30.002091,Jefferson,NOLA Discount Pharmacy of Metairie,1107 Veterans Boulevard,Metairie,"1107 Veterans Boulevard, Metairie, LA",https://www.nolapharmacy.com/locations/veterans-location,(504) 835-6060
133,-90.20082,30.01684,Jefferson,Vinnie's Pharmacy,5004 West Esplanade Avenue,Metairie,"5004 West Esplanade Avenue, Metairie, LA",https://www.vinniesrx.com/,(504) 420-7979
134,-90.178786,29.976015,Jefferson,Walgreens #15571,4501 Airline Drive,Metairie,"4501 Airline Drive, Metairie, LA",https://www.walgreens.com/covid19vac,
135,-90.218269,29.958147,Jefferson,Walgreens #13658,9705 Jefferson Highway,River Ridge,"9705 Jefferson Highway, River Ridge, LA",https://www.walgreens.com/covid19vac,
136,-90.144389,29.897785,Jefferson,Walgreens #5230,818 Westbank Expressway,Westwego,"818 Westbank Expressway, Westwego, LA",https://www.walgreens.com/covid19vac,
137,-90.2182,29.91102,Jefferson,InclusivCare RFK Jean Lafitte Clinic,3932 U. S. Highway 90,Avondale,"3932 U. S. Highway 90, Avondale, LA",https://jchcc.org/,(504) 689-3300
138,-90.2182,29.91102,Jefferson,JCHCC InclusivCare - Avondale,3932 U. S. Highway 90,Avondale,"3932 U. S. Highway 90, Avondale, LA",https://jchcc.org/,(504) 436-2223
139,-90.239849,30.003021,Jefferson,JCHCC InclusivCare - Kenner,2552 Williams Boulevard,Kenner,"2552 Williams Boulevard, Kenner, LA",https://jchcc.org/,(504) 463-3002
140,-90.12661,29.882924,Jefferson,JCHCC InclusivCare - Marrero,7017 Lapalco Boulevard,Marrero,"7017 Lapalco Boulevard, Marrero, LA",https://jchcc.org/,(504) 341-4006
141,-92.663349,30.240968,Jefferson Davis,Walgreens #10577,1804 Elton Road,Jennings,"1804 Elton Road, Jennings, LA",https://www.walgreens.com/covid19vac,
142,-92.655565,30.244317,Jefferson Davis,Walmart Pharmacy #386/Jennings,303 E Interstate Drive,Jennings,"303 E Interstate Drive, Jennings, LA",https://www.walmart.com/store/386-jennings-la,(337) 824-9010
143,-91.948675,30.139874,Lafayette,Albertsons/Savon #2756,1210 Albertsons Parkway,Broussard,"1210 Albertsons Parkway, Broussard, LA",https://www.mhealthsystem.com/Albertsons2756 ,
144,-91.963749,30.148264,Lafayette,Towne Pharmacy,103 E Main Street,Broussard,"103 E Main Street, Broussard, LA",https://www.mytownepharmacy.com/contact,(337) 839-8880
